kode_kabkota;nama_kabkota;nama_pendek;jenis_wilayah;wilayah_adat;koordinat_lat;koordinat_lon
1101;Kab. Simeulue;Simeulue;Kabupaten;Kepulauan;2,6166;96,1475
1102;Kab. Aceh Singkil;Aceh Singkil;Kabupaten;Pesisir Barat;2,286;97,6205
1103;Kab. Aceh Selatan;Aceh Selatan;Kabupaten;Pesisir Barat;3,1549;97,4129
1104;Kab. Aceh Tenggara;Aceh Tenggara;Kabupaten;Pedalaman;3,3212;97,7541
1105;Kab. Aceh Timur;Aceh Timur;Kabupaten;Pesisir Timur;4,7145;97,6352
1106;Kab. Aceh Tengah;Aceh Tengah;Kabupaten;Dataran Tinggi (Gayo);4,61;96,8235
1107;Kab. Aceh Barat;Aceh Barat;Kabupaten;Pesisir Barat;4,4126;96,2112
1108;Kab. Aceh Besar;Aceh Besar;Kabupaten;Pesisir Utara;5,5481;95,2422
1109;Kab. Pidie;Pidie;Kabupaten;Pesisir Utara;5,2348;95,9267
1110;Kab. Bireuen;Bireuen;Kabupaten;Pesisir Utara;5,1585;96,6754
1111;Kab. Aceh Utara;Aceh Utara;Kabupaten;Pesisir Utara;5,024;97,263
1112;Kab. Aceh Barat Daya;Aceh Barat Daya;Kabupaten;Pesisir Barat;3,7976;96,7995
1113;Kab. Gayo Lues;Gayo Lues;Kabupaten;Dataran Tinggi (Gayo);4,0257;97,4731
1114;Kab. Aceh Tamiang;Aceh Tamiang;Kabupaten;Pesisir Timur;4,252;98,0232
1115;Kab. Nagan Raya;Nagan Raya;Kabupaten;Pesisir Barat;4,0968;96,5005
1116;Kab. Aceh Jaya;Aceh Jaya;Kabupaten;Pesisir Barat;4,9312;95,5405
1117;Kab. Bener Meriah;Bener Meriah;Kabupaten;Dataran Tinggi (Gayo);4,7739;96,9328
1118;Kab. Pidie Jaya;Pidie Jaya;Kabupaten;Pesisir Utara;5,164;96,1842
1171;Kota Banda Aceh;Banda Aceh;Kota;Pesisir Utara;5,5525;95,3343
1172;Kota Sabang;Sabang;Kota;Kepulauan;5,8528;95,2987
1173;Kota Langsa;Langsa;Kota;Pesisir Timur;4,4842;97,9833
1174;Kota Lhokseumawe;Lhokseumawe;Kota;Pesisir Utara;5,1821;97,112
1175;Kota Subulussalam;Subulussalam;Kota;Pedalaman;2,7613;97,9225
11;Provinsi Aceh;Aceh;Provinsi;Seluruh Wilayah;4,6951;96,7494
